                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.3366,                0.98791,                 1.2807,                0.86897,                0.74638,                0.88542,                0.69284,                 1.3299,                 1.1893,                 1.4161,              0.0015705,              0.0015705,              0.0015705
                    120,                 1.3864,                 1.0331,                 1.2691,                0.84924,                0.74793,                 0.8946,                0.70484,                 1.2678,                 1.1895,                 1.3826,              0.0015696,              0.0015696,              0.0015696
                    121,                 1.3228,                 1.0938,                 1.1844,                0.60566,                0.76326,                0.89185,                0.75836,                 1.2318,                 1.3266,                 1.3842,              0.0015688,              0.0015688,              0.0015688
                    122,                 1.2675,                 1.0359,                 1.2162,                0.61737,                 0.7457,                0.87617,                0.74229,                 1.2324,                 1.2744,                 1.3771,               0.001568,               0.001568,               0.001568
                    123,                 1.3291,                 1.0336,                 1.2552,                0.78267,                0.74224,                0.88909,                 0.7094,                   1.22,                 1.1907,                 1.3816,              0.0015672,              0.0015672,              0.0015672
                    124,                 1.2711,                0.99499,                 1.1791,                0.66051,                0.77138,                0.90615,                0.71973,                 1.1928,                 1.1569,                 1.3612,              0.0015663,              0.0015663,              0.0015663
                    125,                  1.276,                 1.0224,                 1.2585,                0.67976,                0.80265,                0.90793,                0.73184,                 1.1372,                0.99707,                 1.3285,              0.0015655,              0.0015655,              0.0015655
                    126,                 1.2818,                 1.0508,                 1.2057,                0.71979,                0.78742,                0.90571,                0.59497,                 1.2361,                 1.0522,                 1.3489,              0.0015647,              0.0015647,              0.0015647
                    127,                 1.2696,                 0.9605,                 1.2237,                0.86954,                 0.7971,                0.87104,                0.55053,                 1.2204,                 1.0947,                 1.3429,              0.0015639,              0.0015639,              0.0015639
                    128,                 1.2439,                0.97152,                 1.2289,                 0.8956,                0.75428,                0.87909,                0.71072,                 1.1792,                 1.0613,                 1.3639,               0.001563,               0.001563,               0.001563
                    129,                 1.2832,                0.91635,                 1.2143,                0.83599,                0.76812,                 0.8883,                0.75262,                 1.2161,                 1.0618,                 1.3605,              0.0015622,              0.0015622,              0.0015622
                    130,                 1.2107,                0.94426,                  1.216,                0.64039,                0.78261,                0.88374,                0.68463,                 1.2167,                 1.0989,                 1.3783,              0.0015614,              0.0015614,              0.0015614
                    131,                 1.3306,                 1.0274,                 1.1652,                 0.8114,                0.73917,                0.88091,                0.64717,                 1.2766,                 1.1871,                 1.4423,              0.0015606,              0.0015606,              0.0015606
                    132,                 1.2332,                0.91454,                 1.1578,                0.95564,                0.74409,                0.89073,                0.66631,                 1.1859,                 1.0102,                 1.3489,              0.0015597,              0.0015597,              0.0015597
                    133,                 1.2411,                0.92964,                 1.2207,                0.91904,                 0.7856,                0.89925,                0.71835,                 1.1427,                0.96316,                 1.3327,              0.0015589,              0.0015589,              0.0015589
                    134,                  1.166,                0.88839,                 1.1867,                0.69204,                0.84058,                0.90778,                0.78052,                 1.1409,                0.92776,                  1.326,              0.0015581,              0.0015581,              0.0015581
                    135,                 1.2562,                0.91656,                 1.2331,                0.83895,                0.77536,                0.87641,                 0.7437,                 1.2131,                  0.964,                 1.3307,              0.0015573,              0.0015573,              0.0015573
                    136,                 1.2362,                0.90895,                 1.2299,                0.94648,                 0.8243,                 0.9182,                0.67372,                 1.1496,                0.90804,                 1.2895,              0.0015564,              0.0015564,              0.0015564
                    137,                 1.3679,                 1.1104,                 1.3383,                0.90527,                0.80435,                0.91685,                0.71317,                  1.272,                0.96877,                  1.362,              0.0015556,              0.0015556,              0.0015556
                    138,                 1.2278,                0.89958,                 1.2453,                0.88766,                0.79959,                0.91597,                0.71258,                 1.1884,                0.95946,                 1.3485,              0.0015548,              0.0015548,              0.0015548
                    139,                  1.201,                0.91356,                 1.2067,                0.92577,                 0.7971,                0.92076,                0.72958,                 1.1622,                0.88125,                 1.3321,               0.001554,               0.001554,               0.001554
                    140,                 1.2551,                0.98514,                 1.2812,                0.83809,                0.77007,                0.91816,                0.76622,                 1.2322,                 1.0401,                 1.3845,              0.0015531,              0.0015531,              0.0015531
                    141,                 1.1868,                0.88783,                 1.1991,                0.68227,                 0.8239,                0.91264,                 0.7759,                 1.1814,                 1.0125,                 1.3576,              0.0015523,              0.0015523,              0.0015523
                    142,                 1.2579,                0.95806,                 1.2361,                0.69848,                0.77996,                0.90808,                0.77085,                 1.1542,                 1.0036,                 1.3454,              0.0015515,              0.0015515,              0.0015515
                    143,                 1.2247,                0.91313,                 1.1551,                0.85667,                0.77536,                0.90356,                0.71611,                 1.1755,                0.99774,                 1.3537,              0.0015507,              0.0015507,              0.0015507
                    144,                 1.2791,                0.91234,                 1.2921,                0.93629,                0.82475,                0.89758,                0.67621,                 1.1486,                0.97119,                 1.3305,              0.0015498,              0.0015498,              0.0015498
                    145,                 1.2562,                0.98662,                 1.2784,                0.83569,                0.87217,                0.89465,                0.66439,                 1.1239,                0.99852,                 1.3068,               0.001549,               0.001549,               0.001549
                    146,                 1.1838,                0.86556,                 1.1365,                0.95497,                0.78653,                 0.9141,                 0.6858,                 1.1582,                 0.9822,                 1.3223,              0.0015482,              0.0015482,              0.0015482
